Date,HomeTeam,AwayTeam,FTHG,FTAG
14/05/2025,Nijmegen,NAC Breda,3,0
14/05/2025,PSV Eindhoven,Heracles,4,1
14/05/2025,Twente,AZ Alkmaar,2,3
14/05/2025,Utrecht,Sparta Rotterdam,1,1
14/05/2025,Willem II,Zwolle,1,2
18/05/2025,Ajax,Twente,2,0
18/05/2025,AZ Alkmaar,Almere City,1,1
18/05/2025,For Sittard,Utrecht,0,0
18/05/2025,Heerenveen,Feyenoord,2,0
18/05/2025,Heracles,Nijmegen,1,2
18/05/2025,NAC Breda,Willem II,1,1
18/05/2025,Sparta Rotterdam,PSV Eindhoven,1,3
18/05/2025,Waalwijk,Go Ahead Eagles,5,3
18/05/2025,Zwolle,Groningen,2,0
08/08/2025,For Sittard,Go Ahead Eagles,2,2
09/08/2025,Nijmegen,Excelsior,5,0
09/08/2025,Feyenoord,NAC Breda,2,0
09/08/2025,Heerenveen,Volendam,1,1
09/08/2025,PSV Eindhoven,Sparta Rotterdam,6,1
10/08/2025,Zwolle,Twente,1,0
10/08/2025,Ajax,Telstar,2,0
10/08/2025,AZ Alkmaar,Groningen,4,1
10/08/2025,Utrecht,Heracles,4,0
15/08/2025,Telstar,Zwolle,0,2
16/08/2025,Excelsior,Feyenoord,1,2
16/08/2025,Heracles,Nijmegen,1,4
16/08/2025,Groningen,Heerenveen,2,1
17/08/2025,Go Ahead Eagles,Ajax,2,2
17/08/2025,Sparta Rotterdam,Utrecht,2,1
17/08/2025,Twente,PSV Eindhoven,0,2
17/08/2025,Volendam,AZ Alkmaar,2,2
17/08/2025,NAC Breda,For Sittard,2,1
23/08/2025,Go Ahead Eagles,Sparta Rotterdam,0,3
23/08/2025,PSV Eindhoven,Groningen,4,2
23/08/2025,Telstar,Volendam,2,2
24/08/2025,Heerenveen,Twente,1,2
24/08/2025,Nijmegen,NAC Breda,3,0
24/08/2025,Utrecht,Excelsior,4,1
24/08/2025,Ajax,Heracles,2,0
29/08/2025,Groningen,Heracles,4,0
30/08/2025,Volendam,Ajax,1,1
30/08/2025,Heerenveen,Go Ahead Eagles,2,2
30/08/2025,PSV Eindhoven,Telstar,0,2
30/08/2025,Excelsior,Twente,1,0
31/08/2025,For Sittard,Nijmegen,3,2
31/08/2025,Sparta Rotterdam,Feyenoord,0,4
31/08/2025,Zwolle,Utrecht,0,2
31/08/2025,NAC Breda,AZ Alkmaar,0,1
13/09/2025,Ajax,Zwolle,3,1
13/09/2025,Go Ahead Eagles,Volendam,3,0
13/09/2025,Nijmegen,PSV Eindhoven,3,5
13/09/2025,Feyenoord,Heerenveen,1,0
13/09/2025,Twente,NAC Breda,2,2
14/09/2025,Excelsior,Sparta Rotterdam,0,1
14/09/2025,Heracles,AZ Alkmaar,1,2
14/09/2025,Utrecht,Groningen,0,1
14/09/2025,Telstar,For Sittard,1,3
17/09/2025,Feyenoord,For Sittard,2,0
19/09/2025,Sparta Rotterdam,Twente,1,5
20/09/2025,Volendam,Excelsior,1,2
20/09/2025,Groningen,Telstar,2,0
20/09/2025,For Sittard,Utrecht,1,0
20/09/2025,NAC Breda,Heracles,2,1
21/09/2025,Zwolle,Go Ahead Eagles,0,2
21/09/2025,Heerenveen,Nijmegen,3,2
21/09/2025,PSV Eindhoven,Ajax,2,2
21/09/2025,AZ Alkmaar,Feyenoord,3,3
24/09/2025,AZ Alkmaar,Zwolle,2,2
26/09/2025,Twente,For Sittard,3,2
27/09/2025,Ajax,NAC Breda,2,1
27/09/2025,Volendam,Zwolle,2,1
27/09/2025,Excelsior,PSV Eindhoven,1,2
27/09/2025,Heracles,Sparta Rotterdam,3,0
28/09/2025,Nijmegen,AZ Alkmaar,2,1
28/09/2025,Groningen,Feyenoord,0,1
28/09/2025,Utrecht,Heerenveen,2,2
28/09/2025,Telstar,Go Ahead Eagles,4,2
03/10/2025,NAC Breda,Groningen,1,2
04/10/2025,Sparta Rotterdam,Ajax,3,3
04/10/2025,For Sittard,Volendam,1,0
04/10/2025,Zwolle,PSV Eindhoven,0,4
04/10/2025,Heerenveen,Excelsior,2,1
05/10/2025,Twente,Heracles,2,1
05/10/2025,Feyenoord,Utrecht,3,2
05/10/2025,AZ Alkmaar,Telstar,2,1
05/10/2025,Go Ahead Eagles,Nijmegen,1,1
18/10/2025,Nijmegen,Twente,3,3
18/10/2025,PSV Eindhoven,Go Ahead Eagles,2,1
18/10/2025,Utrecht,Volendam,3,1
18/10/2025,Ajax,AZ Alkmaar,0,2
18/10/2025,NAC Breda,Zwolle,2,2
19/10/2025,Telstar,Heerenveen,2,3
19/10/2025,Excelsior,For Sittard,1,0
19/10/2025,Groningen,Sparta Rotterdam,0,2
19/10/2025,Heracles,Feyenoord,0,7
24/10/2025,Heerenveen,NAC Breda,3,3
25/10/2025,For Sittard,Groningen,1,2
25/10/2025,Sparta Rotterdam,Telstar,1,0
25/10/2025,Volendam,Heracles,3,0
25/10/2025,Zwolle,Nijmegen,2,2
26/10/2025,Twente,Ajax,2,3
26/10/2025,Feyenoord,PSV Eindhoven,2,3
26/10/2025,AZ Alkmaar,Utrecht,4,1
26/10/2025,Go Ahead Eagles,Excelsior,2,0
31/10/2025,PSV Eindhoven,For Sittard,5,2
01/11/2025,Ajax,Heerenveen,1,1
01/11/2025,NAC Breda,Go Ahead Eagles,1,0
01/11/2025,Feyenoord,Volendam,3,1
01/11/2025,Telstar,Excelsior,2,2
02/11/2025,Heracles,Zwolle,8,2
02/11/2025,Groningen,Twente,1,1
02/11/2025,Sparta Rotterdam,AZ Alkmaar,0,1
02/11/2025,Utrecht,Nijmegen,1,0
07/11/2025,Twente,Telstar,0,0
08/11/2025,Excelsior,Heracles,1,2
08/11/2025,Volendam,NAC Breda,2,1
08/11/2025,For Sittard,Heerenveen,2,0
08/11/2025,Zwolle,Sparta Rotterdam,1,0
09/11/2025,Utrecht,Ajax,2,1
09/11/2025,Nijmegen,Groningen,2,0
09/11/2025,AZ Alkmaar,PSV Eindhoven,1,5
09/11/2025,Go Ahead Eagles,Feyenoord,2,1
22/11/2025,NAC Breda,PSV Eindhoven,0,1
22/11/2025,Ajax,Excelsior,1,2
22/11/2025,Volendam,Twente,1,1
22/11/2025,Heracles,Go Ahead Eagles,4,2
22/11/2025,Sparta Rotterdam,For Sittard,1,1
23/11/2025,Heerenveen,AZ Alkmaar,3,1
23/11/2025,Feyenoord,Nijmegen,2,4
23/11/2025,Telstar,Utrecht,1,1
23/11/2025,Groningen,Zwolle,2,2
28/11/2025,Zwolle,Heerenveen,2,1
29/11/2025,Excelsior,NAC Breda,1,0
29/11/2025,For Sittard,Heracles,1,1
29/11/2025,Nijmegen,Sparta Rotterdam,3,1
30/11/2025,PSV Eindhoven,Volendam,3,0
30/11/2025,Go Ahead Eagles,Utrecht,2,2
30/11/2025,Telstar,Feyenoord,1,2
30/11/2025,Twente,AZ Alkmaar,1,0
02/12/2025,Ajax,Groningen,2,0
05/12/2025,Excelsior,Groningen,0,2
06/12/2025,Heerenveen,PSV Eindhoven,0,2
06/12/2025,For Sittard,Ajax,1,3
06/12/2025,Heracles,Telstar,1,1
06/12/2025,Feyenoord,Zwolle,6,1
07/12/2025,Utrecht,Twente,1,1
07/12/2025,AZ Alkmaar,Go Ahead Eagles,2,2
07/12/2025,Volendam,Nijmegen,2,3
07/12/2025,Sparta Rotterdam,NAC Breda,1,0
13/12/2025,Telstar,Nijmegen,2,2
13/12/2025,Groningen,Volendam,3,0
13/12/2025,PSV Eindhoven,Heracles,4,3
13/12/2025,Zwolle,For Sittard,1,0
14/12/2025,Sparta Rotterdam,Heerenveen,0,3
14/12/2025,Ajax,Feyenoord,2,0
14/12/2025,Twente,Go Ahead Eagles,2,0
14/12/2025,NAC Breda,Utrecht,1,1
20/12/2025,Heracles,Heerenveen,0,3
20/12/2025,Excelsior,Zwolle,2,1
20/12/2025,Nijmegen,Ajax,2,2
20/12/2025,NAC Breda,Telstar,0,1
21/12/2025,Utrecht,PSV Eindhoven,1,2
21/12/2025,Feyenoord,Twente,1,1
21/12/2025,Go Ahead Eagles,Groningen,1,1
21/12/2025,For Sittard,AZ Alkmaar,4,3
21/12/2025,Volendam,Sparta Rotterdam,0,1
10/01/2026,AZ Alkmaar,Volendam,1,0
10/01/2026,Twente,Zwolle,1,1
10/01/2026,PSV Eindhoven,Excelsior,5,1
10/01/2026,Groningen,NAC Breda,0,0
11/01/2026,Heerenveen,Feyenoord,2,2
11/01/2026,Go Ahead Eagles,For Sittard,2,2
11/01/2026,Telstar,Ajax,2,3
11/01/2026,Sparta Rotterdam,Heracles,2,0
17/01/2026,Ajax,Go Ahead Eagles,2,2
17/01/2026,Zwolle,AZ Alkmaar,3,1
17/01/2026,Excelsior,Telstar,2,2
17/01/2026,For Sittard,PSV Eindhoven,1,2
17/01/2026,NAC Breda,Nijmegen,3,4
18/01/2026,Heerenveen,Groningen,0,2
18/01/2026,Heracles,Twente,0,2
18/01/2026,Volendam,Utrecht,2,1
18/01/2026,Feyenoord,Sparta Rotterdam,3,4
21/01/2026,AZ Alkmaar,Excelsior,1,1
24/01/2026,Ajax,Volendam,2,0
24/01/2026,Nijmegen,Zwolle,2,1
24/01/2026,PSV Eindhoven,NAC Breda,2,2
