Date,HomeTeam,AwayTeam,FTHG,FTAG
21/09/2025,Minnesota United II,North Texas,1,2
21/09/2025,Orlando City II,Huntsville City,0,1
21/09/2025,Philadelphia Union II,Chicago Fire II,5,2
22/09/2025,Houston Dynamo FC II,Portland Timbers II,3,1
22/09/2025,Tacoma Defiance,Colorado Rapids II,1,4
22/09/2025,Ventura County,The Town,0,4
25/09/2025,FC Cincinnati II,Columbus Crew II,4,3
26/09/2025,New England II,Crown Legacy,0,1
26/09/2025,Toronto II,Philadelphia Union II,1,2
27/09/2025,Austin II,Portland Timbers II,1,2
27/09/2025,Colorado Rapids II,Minnesota United II,1,2
28/09/2025,Chicago Fire II,Atlanta United II,2,5
28/09/2025,New York City II,Chattanooga,0,1
28/09/2025,North Texas,Real Monarchs,2,4
28/09/2025,Sporting KC II,Ventura County,1,2
28/09/2025,The Town,Tacoma Defiance,0,1
29/09/2025,Huntsville City,Inter Miami II,4,1
01/10/2025,FC Cincinnati II,New York RB II,2,1
02/10/2025,Atlanta United II,Chattanooga,0,1
02/10/2025,The Town,Vancouver Whitecaps II,2,1
05/10/2025,Huntsville City,Carolina Core,3,0
05/10/2025,Inter Miami II,New England II,2,5
05/10/2025,Los Angeles FC II,North Texas,2,4
05/10/2025,Minnesota United II,Sporting KC II,3,1
05/10/2025,New York RB II,Toronto II,2,1
05/10/2025,Orlando City II,FC Cincinnati II,1,4
05/10/2025,Philadelphia Union II,New York City II,4,3
05/10/2025,Portland Timbers II,St. Louis City II,2,1
05/10/2025,Real Monarchs,Vancouver Whitecaps II,4,1
05/10/2025,Tacoma Defiance,Houston Dynamo FC II,5,1
05/10/2025,The Town,Austin II,1,2
05/10/2025,Ventura County,Colorado Rapids II,0,2
19/10/2025,Chattanooga,Huntsville City,0,2
19/10/2025,Colorado Rapids II,Vancouver Whitecaps II,3,2
19/10/2025,New England II,Chicago Fire II,0,1
19/10/2025,New York RB II,Carolina Core,5,1
19/10/2025,Philadelphia Union II,FC Cincinnati II,2,1
19/10/2025,St. Louis City II,Ventura County,3,0
20/10/2025,Real Monarchs,Minnesota United II,1,2
20/10/2025,The Town,North Texas,3,0
25/10/2025,Philadelphia Union II,Huntsville City,1,0
26/10/2025,St. Louis City II,Minnesota United II,0,2
01/11/2025,New York RB II,Philadelphia Union II,2,1
03/11/2025,Colorado Rapids II,Minnesota United II,2,1
28/02/2026,Philadelphia Union II,Toronto II,1,0
28/02/2026,St. Louis City II,Sporting KC II,4,0
01/03/2026,Chattanooga,Crown Legacy,1,4
01/03/2026,FC Cincinnati II,Connecticut FC,1,3
01/03/2026,New York RB II,Columbus Crew II,4,2
01/03/2026,Portland Timbers II,The Town,2,1
02/03/2026,Austin II,Minnesota United II,2,4
02/03/2026,Houston Dynamo FC II,Colorado Rapids II,2,0
02/03/2026,Ventura County,Vancouver Whitecaps II,4,2
