Date,HomeTeam,AwayTeam,FTHG,FTAG
18/04/2025,União de Leiria,Benfica B,1,3
19/04/2025,Academico Viseu,Torreense,1,2
19/04/2025,FC Porto B,Chaves,1,2
19/04/2025,Penafiel,Feirense,1,2
20/04/2025,Alverca,Oliveirense,4,0
20/04/2025,Maritimo,Mafra,2,0
20/04/2025,Tondela,Vizela,0,1
25/04/2025,Oliveirense,Academico Viseu,2,0
25/04/2025,Pacos Ferreira,União de Leiria,2,3
26/04/2025,Torreense,Maritimo,2,2
26/04/2025,Vizela,Felgueiras 1932,1,1
27/04/2025,Feirense,FC Porto B,0,1
27/04/2025,Leixoes,Penafiel,3,1
27/04/2025,Portimonense,Tondela,2,2
29/04/2025,Chaves,Alverca,0,2
30/04/2025,Benfica B,Mafra,5,0
02/05/2025,União de Leiria,Oliveirense,5,0
03/05/2025,Academico Viseu,Portimonense,2,1
03/05/2025,FC Porto B,Vizela,0,1
04/05/2025,Alverca,Pacos Ferreira,1,0
04/05/2025,Felgueiras 1932,Benfica B,3,3
04/05/2025,Mafra,Leixoes,1,2
04/05/2025,Maritimo,Feirense,1,1
04/05/2025,Tondela,Chaves,2,1
05/05/2025,Penafiel,Torreense,0,1
09/05/2025,Feirense,Mafra,2,1
10/05/2025,Chaves,União de Leiria,0,2
10/05/2025,Oliveirense,Maritimo,1,1
10/05/2025,Pacos Ferreira,Felgueiras 1932,1,2
11/05/2025,Benfica B,Penafiel,1,1
11/05/2025,Portimonense,FC Porto B,0,3
11/05/2025,Tondela,Alverca,1,2
11/05/2025,Torreense,Leixoes,3,2
11/05/2025,Vizela,Academico Viseu,1,1
14/05/2025,Leixoes,Feirense,2,0
15/05/2025,Mafra,Torreense,2,0
15/05/2025,Penafiel,Chaves,0,0
16/05/2025,Alverca,Portimonense,2,1
16/05/2025,Maritimo,Vizela,1,2
16/05/2025,União de Leiria,Tondela,0,2
17/05/2025,Academico Viseu,Pacos Ferreira,0,1
17/05/2025,FC Porto B,Benfica B,1,4
17/05/2025,Felgueiras 1932,Oliveirense,2,1
24/05/2025,CF Os Belenenses,Pacos Ferreira,2,1
09/08/2025,Pacos Ferreira,Vizela,1,2
09/08/2025,Portimonense,Penafiel,2,1
09/08/2025,Torreense,Sporting CP B,0,1
10/08/2025,Chaves,Benfica B,1,1
10/08/2025,FC Porto B,Feirense,0,0
10/08/2025,Leixoes,Felgueiras 1932,3,0
10/08/2025,Maritimo,Lusitânia Lourosa,0,1
10/08/2025,União de Leiria,Academico Viseu,3,2
11/08/2025,Oliveirense,Farense,1,1
15/08/2025,Feirense,Portimonense,4,1
16/08/2025,Academico Viseu,Pacos Ferreira,0,0
16/08/2025,Felgueiras 1932,Maritimo,0,1
16/08/2025,Lusitânia Lourosa,Chaves,2,2
16/08/2025,Vizela,FC Porto B,4,0
17/08/2025,Benfica B,Leixoes,1,1
17/08/2025,Farense,Torreense,0,3
17/08/2025,Penafiel,Oliveirense,0,0
17/08/2025,Sporting CP B,União de Leiria,1,0
22/08/2025,Chaves,Felgueiras 1932,1,1
23/08/2025,Pacos Ferreira,União de Leiria,0,0
23/08/2025,Portimonense,Vizela,1,1
23/08/2025,Torreense,Academico Viseu,2,1
24/08/2025,FC Porto B,Farense,0,2
24/08/2025,Leixoes,Penafiel,3,2
24/08/2025,Maritimo,Feirense,1,0
24/08/2025,Oliveirense,Sporting CP B,1,0
25/08/2025,Lusitânia Lourosa,Benfica B,1,1
29/08/2025,União de Leiria,Torreense,1,0
30/08/2025,Benfica B,Portimonense,1,2
30/08/2025,Feirense,Leixoes,2,0
30/08/2025,Felgueiras 1932,Lusitânia Lourosa,3,1
30/08/2025,Penafiel,Chaves,0,2
31/08/2025,Academico Viseu,FC Porto B,2,0
31/08/2025,Farense,Maritimo,0,2
31/08/2025,Sporting CP B,Pacos Ferreira,3,0
31/08/2025,Vizela,Oliveirense,1,0
13/09/2025,Felgueiras 1932,Benfica B,2,1
13/09/2025,Leixoes,Farense,0,2
13/09/2025,Lusitânia Lourosa,Penafiel,0,0
14/09/2025,Chaves,Feirense,1,1
14/09/2025,FC Porto B,União de Leiria,1,2
14/09/2025,Maritimo,Vizela,1,1
14/09/2025,Portimonense,Sporting CP B,1,2
14/09/2025,Torreense,Pacos Ferreira,0,0
15/09/2025,Oliveirense,Academico Viseu,2,2
26/09/2025,Vizela,Leixoes,2,0
27/09/2025,Academico Viseu,Portimonense,2,3
27/09/2025,Benfica B,Torreense,3,3
27/09/2025,Penafiel,Felgueiras 1932,2,0
27/09/2025,Sporting CP B,Maritimo,0,1
28/09/2025,Farense,Chaves,0,2
28/09/2025,Feirense,Lusitânia Lourosa,1,2
29/09/2025,Pacos Ferreira,FC Porto B,2,2
03/10/2025,Maritimo,Academico Viseu,2,2
04/10/2025,Chaves,Vizela,1,0
04/10/2025,Lusitânia Lourosa,Farense,1,2
04/10/2025,Portimonense,União de Leiria,1,1
05/10/2025,Benfica B,Penafiel,0,2
05/10/2025,FC Porto B,Torreense,2,3
05/10/2025,Felgueiras 1932,Feirense,2,0
05/10/2025,Leixoes,Sporting CP B,0,4
05/10/2025,Oliveirense,Pacos Ferreira,2,2
11/10/2025,União de Leiria,Oliveirense,0,0
19/10/2025,FC Porto B,Maritimo,1,0
19/10/2025,Penafiel,Feirense,1,2
24/10/2025,Torreense,Oliveirense,3,2
24/10/2025,Vizela,Felgueiras 1932,2,2
25/10/2025,Academico Viseu,Chaves,1,0
25/10/2025,Feirense,Benfica B,0,2
25/10/2025,Pacos Ferreira,Portimonense,4,1
25/10/2025,Sporting CP B,Lusitânia Lourosa,4,0
25/10/2025,União de Leiria,Leixoes,1,3
26/10/2025,Farense,Penafiel,0,0
29/10/2025,Lusitânia Lourosa,Vizela,1,1
29/10/2025,Oliveirense,FC Porto B,1,0
30/10/2025,Benfica B,Pacos Ferreira,2,1
30/10/2025,Leixoes,Academico Viseu,1,5
30/10/2025,Maritimo,União de Leiria,1,3
30/10/2025,Portimonense,Torreense,0,1
01/11/2025,Sporting CP B,Feirense,3,2
02/11/2025,Farense,Benfica B,4,3
02/11/2025,Vizela,Penafiel,1,3
03/11/2025,Oliveirense,Maritimo,0,2
03/11/2025,Pacos Ferreira,Leixoes,3,1
03/11/2025,União de Leiria,Chaves,2,1
04/11/2025,Academico Viseu,Lusitânia Lourosa,3,2
04/11/2025,Torreense,Felgueiras 1932,2,0
07/11/2025,Feirense,Farense,0,0
08/11/2025,Benfica B,Vizela,1,2
08/11/2025,Chaves,FC Porto B,0,1
08/11/2025,Penafiel,Sporting CP B,1,1
08/11/2025,Portimonense,Oliveirense,1,1
09/11/2025,Felgueiras 1932,Academico Viseu,1,3
09/11/2025,Leixoes,Torreense,1,0
09/11/2025,Lusitânia Lourosa,União de Leiria,1,1
09/11/2025,Maritimo,Pacos Ferreira,2,0
16/11/2025,Felgueiras 1932,Farense,1,1
16/11/2025,Leixoes,Chaves,0,1
23/11/2025,Chaves,Sporting CP B,0,0
23/11/2025,FC Porto B,Portimonense,1,0
23/11/2025,Maritimo,Penafiel,2,1
29/11/2025,Academico Viseu,Penafiel,2,0
29/11/2025,Oliveirense,Leixoes,2,0
30/11/2025,FC Porto B,Lusitânia Lourosa,1,2
30/11/2025,Portimonense,Maritimo,0,2
30/11/2025,Sporting CP B,Farense,3,1
30/11/2025,Torreense,Chaves,0,2
30/11/2025,União de Leiria,Benfica B,2,2
01/12/2025,Pacos Ferreira,Felgueiras 1932,1,1
01/12/2025,Vizela,Feirense,1,1
05/12/2025,Penafiel,União de Leiria,1,0
06/12/2025,Benfica B,Oliveirense,2,0
06/12/2025,Felgueiras 1932,Sporting CP B,0,2
06/12/2025,Leixoes,FC Porto B,2,4
06/12/2025,Maritimo,Torreense,2,0
07/12/2025,Chaves,Pacos Ferreira,2,0
07/12/2025,Feirense,Academico Viseu,0,0
07/12/2025,Lusitânia Lourosa,Portimonense,3,2
08/12/2025,Farense,Vizela,2,0
12/12/2025,FC Porto B,Penafiel,1,0
12/12/2025,Oliveirense,Chaves,2,3
12/12/2025,Torreense,Feirense,2,3
13/12/2025,Academico Viseu,Farense,3,0
13/12/2025,União de Leiria,Felgueiras 1932,2,3
14/12/2025,Pacos Ferreira,Lusitânia Lourosa,1,5
14/12/2025,Portimonense,Leixoes,1,2
14/12/2025,Sporting CP B,Vizela,0,1
16/12/2025,Maritimo,Benfica B,1,1
20/12/2025,Chaves,Portimonense,0,1
20/12/2025,Feirense,Pacos Ferreira,0,1
20/12/2025,Vizela,Academico Viseu,0,0
21/12/2025,Farense,União de Leiria,0,1
21/12/2025,Felgueiras 1932,FC Porto B,2,0
21/12/2025,Leixoes,Maritimo,1,4
21/12/2025,Penafiel,Torreense,1,0
22/12/2025,Benfica B,Sporting CP B,1,0
22/12/2025,Lusitânia Lourosa,Oliveirense,0,1
28/12/2025,Academico Viseu,Benfica B,1,2
28/12/2025,Pacos Ferreira,Farense,0,0
30/12/2025,Torreense,Lusitânia Lourosa,0,1
03/01/2026,Farense,Portimonense,0,1
03/01/2026,Feirense,União de Leiria,2,2
03/01/2026,Felgueiras 1932,Oliveirense,1,0
04/01/2026,Penafiel,Pacos Ferreira,1,2
04/01/2026,Sporting CP B,Academico Viseu,1,2
05/01/2026,Benfica B,FC Porto B,1,1
05/01/2026,Vizela,Torreense,0,1
08/01/2026,Lusitânia Lourosa,Leixoes,2,2
11/01/2026,Chaves,Maritimo,2,3
11/01/2026,FC Porto B,Sporting CP B,2,1
11/01/2026,Oliveirense,Feirense,3,4
11/01/2026,Portimonense,Felgueiras 1932,0,0
15/01/2026,Vizela,Pacos Ferreira,3,0
16/01/2026,Academico Viseu,União de Leiria,2,0
17/01/2026,Benfica B,Chaves,1,0
17/01/2026,Farense,Oliveirense,0,0
17/01/2026,Felgueiras 1932,Leixoes,0,1
17/01/2026,Penafiel,Portimonense,0,2
18/01/2026,Lusitânia Lourosa,Maritimo,0,4
19/01/2026,Feirense,FC Porto B,2,1
19/01/2026,Sporting CP B,Torreense,1,2
21/01/2026,União de Leiria,Vizela,2,2
23/01/2026,Pacos Ferreira,Academico Viseu,2,1
24/01/2026,Chaves,Lusitânia Lourosa,2,2
24/01/2026,Leixoes,Benfica B,0,0
24/01/2026,Maritimo,Felgueiras 1932,1,1
25/01/2026,FC Porto B,Vizela,1,0
25/01/2026,Oliveirense,Penafiel,2,1
25/01/2026,Portimonense,Feirense,0,1
25/01/2026,Torreense,Farense,2,1
26/01/2026,União de Leiria,Sporting CP B,3,1
29/01/2026,Benfica B,Lusitânia Lourosa,1,2
30/01/2026,Penafiel,Leixoes,0,0
31/01/2026,Academico Viseu,Torreense,1,0
31/01/2026,Farense,FC Porto B,2,3
31/01/2026,Felgueiras 1932,Chaves,1,0
31/01/2026,Vizela,Portimonense,1,1
01/02/2026,Feirense,Maritimo,1,1
01/02/2026,Sporting CP B,Oliveirense,2,0
